DateUTC;Consumption
01/01/2019 00:00;1.908
01/01/2019 01:00;1.794
01/01/2019 02:00;0.909
01/01/2019 03:00;0.248
01/01/2019 04:00;0.194
01/01/2019 05:00;0.172
01/01/2019 06:00;0.212
01/01/2019 07:00;0.269
01/01/2019 08:00;0.195
01/01/2019 09:00;1.857
01/01/2019 10:00;2.538
01/01/2019 11:00;1.578
01/01/2019 12:00;0
01/01/2019 13:00;0
01/01/2019 14:00;0
01/01/2019 15:00;0
01/01/2019 16:00;0
01/01/2019 17:00;0
01/01/2019 18:00;0
01/01/2019 19:00;0
01/01/2019 20:00;0
01/01/2019 21:00;0
01/01/2019 22:00;0
01/01/2019 23:00;0
02/01/2019 00:00;0
02/01/2019 01:00;0
02/01/2019 02:00;0
02/01/2019 03:00;0
02/01/2019 04:00;0
02/01/2019 05:00;0
02/01/2019 06:00;0
02/01/2019 07:00;0
02/01/2019 08:00;0
02/01/2019 09:00;0
02/01/2019 10:00;0
02/01/2019 11:00;16.051
02/01/2019 12:00;0.567
02/01/2019 13:00;0
02/01/2019 14:00;0
02/01/2019 15:00;0
02/01/2019 16:00;0
02/01/2019 17:00;0
02/01/2019 18:00;0
02/01/2019 19:00;0
02/01/2019 20:00;0
02/01/2019 21:00;0
02/01/2019 22:00;0
02/01/2019 23:00;0
03/01/2019 00:00;0
03/01/2019 01:00;0
03/01/2019 02:00;0
03/01/2019 03:00;0
03/01/2019 04:00;0
03/01/2019 05:00;0
03/01/2019 06:00;0
03/01/2019 07:00;0
03/01/2019 08:00;0
03/01/2019 09:00;0
03/01/2019 10:00;0
03/01/2019 11:00;9.786
03/01/2019 12:00;0
03/01/2019 13:00;0
03/01/2019 14:00;0
03/01/2019 15:00;0
03/01/2019 16:00;-2.023
03/01/2019 17:00;0.359
03/01/2019 18:00;0.638
03/01/2019 19:00;1.482
03/01/2019 20:00;0.279
03/01/2019 21:00;0.25
03/01/2019 22:00;0.27
03/01/2019 23:00;0.211
04/01/2019 00:00;0.178
04/01/2019 01:00;0.202
04/01/2019 02:00;0.232
04/01/2019 03:00;0.215
04/01/2019 04:00;0.293
04/01/2019 05:00;0.202
04/01/2019 06:00;0.306
04/01/2019 07:00;1.495
04/01/2019 08:00;0.239
04/01/2019 09:00;0.203
04/01/2019 10:00;0.274
04/01/2019 11:00;0.332
04/01/2019 12:00;0.261
04/01/2019 13:00;0.337
04/01/2019 14:00;0.366
04/01/2019 15:00;0.324
04/01/2019 16:00;0.274
04/01/2019 17:00;0.289
04/01/2019 18:00;0.513
04/01/2019 19:00;0.419
04/01/2019 20:00;0.366
04/01/2019 21:00;0.283
04/01/2019 22:00;0.983
04/01/2019 23:00;0.624
05/01/2019 00:00;0.316
05/01/2019 01:00;0.273
05/01/2019 02:00;0.317
05/01/2019 03:00;0.362
05/01/2019 04:00;0.259
05/01/2019 05:00;0.295
05/01/2019 06:00;0.356
05/01/2019 07:00;1.5
05/01/2019 08:00;0.18
05/01/2019 09:00;0.323
05/01/2019 10:00;0.591
05/01/2019 11:00;0.154
05/01/2019 12:00;0.427
05/01/2019 13:00;0.299
05/01/2019 14:00;0.201
05/01/2019 15:00;0.159
05/01/2019 16:00;0.324
05/01/2019 17:00;0.706
05/01/2019 18:00;1.898
05/01/2019 19:00;1.576
05/01/2019 20:00;0.307
05/01/2019 21:00;0.288
05/01/2019 22:00;0.198
05/01/2019 23:00;0.119
06/01/2019 00:00;0.3
06/01/2019 01:00;0.204
06/01/2019 02:00;0.147
06/01/2019 03:00;0.246
06/01/2019 04:00;0.221
06/01/2019 05:00;0.154
06/01/2019 06:00;0.178
06/01/2019 07:00;1.691
06/01/2019 08:00;0.195
06/01/2019 09:00;0.178
06/01/2019 10:00;0.289
06/01/2019 11:00;0.162
06/01/2019 12:00;0
06/01/2019 13:00;0
06/01/2019 14:00;0
06/01/2019 15:00;0
06/01/2019 16:00;-2.682
06/01/2019 17:00;0.342
06/01/2019 18:00;0.386
06/01/2019 19:00;1.067
06/01/2019 20:00;0.478
06/01/2019 21:00;0.239
06/01/2019 22:00;0.265
06/01/2019 23:00;0.12
07/01/2019 00:00;0.23
07/01/2019 01:00;0.222
07/01/2019 02:00;0.236
07/01/2019 03:00;0.138
07/01/2019 04:00;0.207
07/01/2019 05:00;0.213
07/01/2019 06:00;0.218
07/01/2019 07:00;1.484
07/01/2019 08:00;0.347
07/01/2019 09:00;0.296
07/01/2019 10:00;0.343
07/01/2019 11:00;0.072
07/01/2019 12:00;0
07/01/2019 13:00;0
07/01/2019 14:00;0
07/01/2019 15:00;0
07/01/2019 16:00;-2.929
07/01/2019 17:00;0.554
07/01/2019 18:00;1.937
07/01/2019 19:00;1.148
07/01/2019 20:00;0.301
07/01/2019 21:00;0.278
07/01/2019 22:00;0.154
07/01/2019 23:00;0.184
08/01/2019 00:00;0.232
08/01/2019 01:00;0.19
08/01/2019 02:00;0.202
08/01/2019 03:00;0.2
08/01/2019 04:00;0.094
08/01/2019 05:00;0.273
08/01/2019 06:00;0.036
08/01/2019 07:00;0
08/01/2019 08:00;0
08/01/2019 09:00;0
08/01/2019 10:00;0
08/01/2019 11:00;0
08/01/2019 12:00;0
08/01/2019 13:00;0
08/01/2019 14:00;2.334
08/01/2019 15:00;0.388
08/01/2019 16:00;0.536
08/01/2019 17:00;1.736
08/01/2019 18:00;1.275
08/01/2019 19:00;0.218
08/01/2019 20:00;0.239
08/01/2019 21:00;0.212
08/01/2019 22:00;0.19
08/01/2019 23:00;0.272
09/01/2019 00:00;0.198
09/01/2019 01:00;0.111
09/01/2019 02:00;0.207
09/01/2019 03:00;0.252
09/01/2019 04:00;0.162
09/01/2019 05:00;0.205
09/01/2019 06:00;0.165
09/01/2019 07:00;0.175
09/01/2019 08:00;1.506
09/01/2019 09:00;0.54
09/01/2019 10:00;0.377
09/01/2019 11:00;0.313
09/01/2019 12:00;2.477
09/01/2019 13:00;2.967
09/01/2019 14:00;1.759
09/01/2019 15:00;1.704
09/01/2019 16:00;1.064
09/01/2019 17:00;0.319
09/01/2019 18:00;0.411
09/01/2019 19:00;0.3
09/01/2019 20:00;0.198
09/01/2019 21:00;0.24
09/01/2019 22:00;0.285
09/01/2019 23:00;0.224
10/01/2019 00:00;0.13
10/01/2019 01:00;0.227
10/01/2019 02:00;0.247
10/01/2019 03:00;0.254
10/01/2019 04:00;0.348
10/01/2019 05:00;0.898
10/01/2019 06:00;0.282
10/01/2019 07:00;0.335
10/01/2019 08:00;0.147
10/01/2019 09:00;0.271
10/01/2019 10:00;0.27
10/01/2019 11:00;0.368
10/01/2019 12:00;0.334
10/01/2019 13:00;0.265
10/01/2019 14:00;0.628
10/01/2019 15:00;0.94
10/01/2019 16:00;0.299
10/01/2019 17:00;0.476
10/01/2019 18:00;0.446
10/01/2019 19:00;0.376
10/01/2019 20:00;1.07
10/01/2019 21:00;1.22
10/01/2019 22:00;0.153
10/01/2019 23:00;0.222
11/01/2019 00:00;0.24
11/01/2019 01:00;0.263
11/01/2019 02:00;0.116
11/01/2019 03:00;0.554
11/01/2019 04:00;0.86
11/01/2019 05:00;0.301
11/01/2019 06:00;0.099
11/01/2019 07:00;0.286
11/01/2019 08:00;0.216
11/01/2019 09:00;1.2
11/01/2019 10:00;0.518
11/01/2019 11:00;0.2
11/01/2019 12:00;0
11/01/2019 13:00;0
11/01/2019 14:00;0
11/01/2019 15:00;0
11/01/2019 16:00;-2.208
11/01/2019 17:00;0.302
11/01/2019 18:00;0.389
11/01/2019 19:00;0.423
11/01/2019 20:00;1.365
11/01/2019 21:00;0.184
11/01/2019 22:00;0.166
11/01/2019 23:00;0.297
12/01/2019 00:00;0.263
12/01/2019 01:00;0.132
12/01/2019 02:00;0.177
12/01/2019 03:00;0.262
12/01/2019 04:00;0.263
12/01/2019 05:00;0.09
12/01/2019 06:00;0.337
12/01/2019 07:00;1.647
12/01/2019 08:00;0.173
12/01/2019 09:00;0.753
12/01/2019 10:00;1.357
12/01/2019 11:00;0.12
12/01/2019 12:00;0
12/01/2019 13:00;0
12/01/2019 14:00;0
12/01/2019 15:00;0
12/01/2019 16:00;-2.708
12/01/2019 17:00;0.367
12/01/2019 18:00;0.327
12/01/2019 19:00;0.273
12/01/2019 20:00;0.295
12/01/2019 21:00;0.3
12/01/2019 22:00;0.207
12/01/2019 23:00;1.098
13/01/2019 00:00;0.259
13/01/2019 01:00;0.273
13/01/2019 02:00;0.163
13/01/2019 03:00;0.13
13/01/2019 04:00;0.262
13/01/2019 05:00;0.213
13/01/2019 06:00;0.216
13/01/2019 07:00;1.584
13/01/2019 08:00;0.223
13/01/2019 09:00;0.282
13/01/2019 10:00;0.266
13/01/2019 11:00;0.161
13/01/2019 12:00;0
13/01/2019 13:00;0
13/01/2019 14:00;0
13/01/2019 15:00;0
13/01/2019 16:00;-2.736
13/01/2019 17:00;0.295
13/01/2019 18:00;0.345
13/01/2019 19:00;0.954
13/01/2019 20:00;0.939
13/01/2019 21:00;0.225
13/01/2019 22:00;0.227
13/01/2019 23:00;0.208
14/01/2019 00:00;0.155
14/01/2019 01:00;0.262
14/01/2019 02:00;0.206
14/01/2019 03:00;0.106
14/01/2019 04:00;0.22
14/01/2019 05:00;0.273
14/01/2019 06:00;0.132
14/01/2019 07:00;1.546
14/01/2019 08:00;0.146
14/01/2019 09:00;0.314
14/01/2019 10:00;0.237
14/01/2019 11:00;0.068
14/01/2019 12:00;0
14/01/2019 13:00;0
14/01/2019 14:00;-2.312
14/01/2019 15:00;0
14/01/2019 16:00;-0.545
14/01/2019 17:00;0.311
14/01/2019 18:00;0.35
14/01/2019 19:00;0.288
14/01/2019 20:00;0.57
14/01/2019 21:00;0.996
14/01/2019 22:00;0.264
14/01/2019 23:00;0.173
15/01/2019 00:00;0.262
15/01/2019 01:00;0.2
15/01/2019 02:00;0.104
15/01/2019 03:00;0.244
15/01/2019 04:00;0.275
15/01/2019 05:00;0.1
15/01/2019 06:00;0.227
15/01/2019 07:00;0.178
15/01/2019 08:00;0.867
15/01/2019 09:00;1.844
15/01/2019 10:00;0.416
15/01/2019 11:00;0.538
15/01/2019 12:00;0
15/01/2019 13:00;0
15/01/2019 14:00;0.874
15/01/2019 15:00;1.187
15/01/2019 16:00;0.208
15/01/2019 17:00;1.132
15/01/2019 18:00;1.099
15/01/2019 19:00;0.219
15/01/2019 20:00;0.152
15/01/2019 21:00;0.288
15/01/2019 22:00;0.216
15/01/2019 23:00;0.171
16/01/2019 00:00;0.167
16/01/2019 01:00;0.203
16/01/2019 02:00;0.152
16/01/2019 03:00;0.24
16/01/2019 04:00;0.244
16/01/2019 05:00;0.128
16/01/2019 06:00;0.204
16/01/2019 07:00;0.217
16/01/2019 08:00;0.405
16/01/2019 09:00;2.02
16/01/2019 10:00;1.017
16/01/2019 11:00;1.653
16/01/2019 12:00;0
16/01/2019 13:00;0
16/01/2019 14:00;0
16/01/2019 15:00;1.107
16/01/2019 16:00;0.3
16/01/2019 17:00;0.281
16/01/2019 18:00;0.44
16/01/2019 19:00;0.215
16/01/2019 20:00;0.268
16/01/2019 21:00;0.297
16/01/2019 22:00;0.164
16/01/2019 23:00;0.162
17/01/2019 00:00;0.265
17/01/2019 01:00;0.149
17/01/2019 02:00;0.169
17/01/2019 03:00;0.276
17/01/2019 04:00;0.17
17/01/2019 05:00;1.118
17/01/2019 06:00;0.201
17/01/2019 07:00;0.27
17/01/2019 08:00;0.23
17/01/2019 09:00;0.269
17/01/2019 10:00;0.173
17/01/2019 11:00;0.192
17/01/2019 12:00;0
17/01/2019 13:00;0
17/01/2019 14:00;0
17/01/2019 15:00;0
17/01/2019 16:00;0
17/01/2019 17:00;0
17/01/2019 18:00;0
17/01/2019 19:00;0
17/01/2019 20:00;0
17/01/2019 21:00;0
17/01/2019 22:00;0
17/01/2019 23:00;0
18/01/2019 00:00;0
18/01/2019 01:00;0
18/01/2019 02:00;0
18/01/2019 03:00;0
18/01/2019 04:00;0
18/01/2019 05:00;0
18/01/2019 06:00;0
18/01/2019 07:00;0
18/01/2019 08:00;0
18/01/2019 09:00;0
18/01/2019 10:00;0
18/01/2019 11:00;0
18/01/2019 12:00;0
18/01/2019 13:00;0
18/01/2019 14:00;0
18/01/2019 15:00;0
18/01/2019 16:00;0
18/01/2019 17:00;0
18/01/2019 18:00;0
18/01/2019 19:00;0
18/01/2019 20:00;0
18/01/2019 21:00;0
18/01/2019 22:00;0
18/01/2019 23:00;0
19/01/2019 00:00;0
19/01/2019 01:00;0
19/01/2019 02:00;4.127
19/01/2019 03:00;0.221
19/01/2019 04:00;0.095
19/01/2019 05:00;0.213
19/01/2019 06:00;0.18
19/01/2019 07:00;1.64
19/01/2019 08:00;1.504
19/01/2019 09:00;0.471
19/01/2019 10:00;0.173
19/01/2019 11:00;0.113
