DateUTC;Production
01/01/2019 00:00;0
01/01/2019 01:00;0
01/01/2019 02:00;0
01/01/2019 03:00;0
01/01/2019 04:00;0
01/01/2019 05:00;0
01/01/2019 06:00;0.007
01/01/2019 07:00;0.277
01/01/2019 08:00;0.497
01/01/2019 09:00;0.637
01/01/2019 10:00;0.708
01/01/2019 11:00;0.712
01/01/2019 12:00;0.653
01/01/2019 13:00;0.52
01/01/2019 14:00;0.29
01/01/2019 15:00;0.021
01/01/2019 16:00;0
01/01/2019 17:00;0
01/01/2019 18:00;0
01/01/2019 19:00;0
01/01/2019 20:00;0
01/01/2019 21:00;0
01/01/2019 22:00;0
01/01/2019 23:00;0
02/01/2019 00:00;0
02/01/2019 01:00;0
02/01/2019 02:00;0
02/01/2019 03:00;0
02/01/2019 04:00;0
02/01/2019 05:00;0
02/01/2019 06:00;0.001
02/01/2019 07:00;0.081
02/01/2019 08:00;0.148
02/01/2019 09:00;0.119
02/01/2019 10:00;0.164
02/01/2019 11:00;0.17
02/01/2019 12:00;0.183
02/01/2019 13:00;0.18
02/01/2019 14:00;0.083
02/01/2019 15:00;0.001
02/01/2019 16:00;0
02/01/2019 17:00;0
02/01/2019 18:00;0
02/01/2019 19:00;0
02/01/2019 20:00;0
02/01/2019 21:00;0
02/01/2019 22:00;0
02/01/2019 23:00;0
03/01/2019 00:00;0
03/01/2019 01:00;0
03/01/2019 02:00;0
03/01/2019 03:00;0
03/01/2019 04:00;0
03/01/2019 05:00;0
03/01/2019 06:00;0
03/01/2019 07:00;0.056
03/01/2019 08:00;0.186
03/01/2019 09:00;0.31
03/01/2019 10:00;0.453
03/01/2019 11:00;0.52
03/01/2019 12:00;0.451
03/01/2019 13:00;0.265
03/01/2019 14:00;0.117
03/01/2019 15:00;0.003
03/01/2019 16:00;0
03/01/2019 17:00;0
03/01/2019 18:00;0
03/01/2019 19:00;0
03/01/2019 20:00;0
03/01/2019 21:00;0
03/01/2019 22:00;0
03/01/2019 23:00;0
04/01/2019 00:00;0
04/01/2019 01:00;0
04/01/2019 02:00;0
04/01/2019 03:00;0
04/01/2019 04:00;0
04/01/2019 05:00;0
04/01/2019 06:00;0
04/01/2019 07:00;0.024
04/01/2019 08:00;0.085
04/01/2019 09:00;0.134
04/01/2019 10:00;0.176
04/01/2019 11:00;0.215
04/01/2019 12:00;0.204
04/01/2019 13:00;0.148
04/01/2019 14:00;0.068
04/01/2019 15:00;0.002
04/01/2019 16:00;0
04/01/2019 17:00;0
04/01/2019 18:00;0
04/01/2019 19:00;0
